lat,lon,temp,precip,grass,forest,barren,water,class
36.35,94.60000000000004,3.103070020675659,93.4000015258789,0,0,1,0,7
36.35,94.75000000000004,3.103070020675659,93.4000015258789,0,0,1,0,7
36.35,94.90000000000005,3.103070020675659,93.4000015258789,0,0,1,0,7
36.35,95.05000000000005,1.868421196937561,137.75790405273438,0,0,1,0,7
36.35,95.20000000000006,1.868421196937561,137.75790405273438,0,0,1,0,7
36.35,95.35000000000007,1.868421196937561,137.75790405273438,0,0,1,0,7
36.35,95.50000000000007,2.2008774280548096,147.27894592285156,0,0,1,0,7
36.35,95.65000000000008,2.2008774280548096,147.27894592285156,0,0,1,0,7
36.35,95.80000000000008,2.2008774280548096,147.27894592285156,0,0,1,0,7
36.35,95.95000000000009,2.2008774280548096,147.27894592285156,0,0,1,0,7
36.35,96.1000000000001,2.0184214115142822,160.8894500732422,0,0,1,0,7
36.35,96.2500000000001,2.0184214115142822,160.8894500732422,0,0,1,0,7
36.35,96.4000000000001,2.0184214115142822,160.8894500732422,0,0,1,0,7
36.35,96.55000000000011,3.499561071395874,163.4578857421875,0,0,1,0,7
36.35,96.70000000000012,3.499561071395874,163.4578857421875,0,0,1,0,7
36.35,96.85000000000012,3.499561071395874,163.4578857421875,0,0,1,0,7
36.35,97.00000000000013,5.456140518188477,179.2315673828125,1,0,0,0,4
36.35,97.15000000000013,5.456140518188477,179.2315673828125,1,0,0,0,4
36.35,97.30000000000014,5.456140518188477,179.2315673828125,1,0,0,0,4
36.35,97.45000000000014,5.456140518188477,179.2315673828125,1,0,0,0,4
36.35,97.60000000000015,5.3662285804748535,215.63157653808594,1,0,0,0,4
36.35,97.75000000000016,5.3662285804748535,215.63157653808594,0,0,1,0,7
36.35,97.90000000000016,5.3662285804748535,215.63157653808594,0,0,1,0,7
36.35,98.05000000000017,1.8412282466888428,272.942138671875,0,0,1,0,7
36.35,98.20000000000017,1.8412282466888428,272.942138671875,1,0,0,0,4
36.35,98.35000000000018,1.8412282466888428,272.942138671875,1,0,0,0,4
36.35,98.50000000000018,-2.7543864250183105,359.2420959472656,0,0,1,0,7
36.35,98.65000000000019,-2.7543864250183105,359.2420959472656,1,0,0,0,4
36.35,98.8000000000002,-2.7543864250183105,359.2420959472656,1,0,0,0,4
36.35,98.9500000000002,-2.7543864250183105,359.2420959472656,0,0,1,0,7
36.35,99.10000000000021,-1.5127193927764893,372.7105407714844,1,0,0,0,4
36.35,99.25000000000021,-1.5127193927764893,372.7105407714844,1,0,0,0,4
36.35,99.40000000000022,-1.5127193927764893,372.7105407714844,1,0,0,0,4
36.35,99.55000000000022,1.64078950881958,364.6368713378906,1,0,0,0,4
